,dawf_Star_name,dawf_Star_Distance,Mass,Radius
196,Kelu-1A,61,0.00093549624,205.21771099999998
197,Kelu-1B,61,0.00093549624,205.21771099999998
198,2MASS J13204427+0409045,101,0.00096413388,
199,SDSSp J132629.82-003831.5 [de],65,0.00092595036,205.52599999999998
200,SDSSp J134646.45-003150.4 [de],48,0.00089731272,205.52599999999998
201,2MASS J13595510-4034582,51,0.000954588,
202,ULAS J141623.94+134836.3,29.7,0.00091640448,
203,SDSS J141659.78+500626.4 [de],149,0.0009450421200000001,206.142578
204,DENIS-P J142527.97-365023.4 [de],38,0.00126005616,205.937052
205,LHS 2924,38.5,0.0010118632800000002,
206,2MASS J14392837+1929150,47,0.0009832256400000002,
207,LSPM J1440+1339,72,0.00113595972,
208,2MASS J14482563+1031590 [de],47,0.0009450421200000001,205.83428899999998
209,CFBDSIR 1458+10A,104,0.001431882,206.55363
210,CFBDSIR 1458+10B,104,0.0012409644000000001,206.55363
211,TVLM 513-46546,35.1,0.0010023174,
212,2MASS 1503+2525,20.7,0.00089731272,205.83428899999998
213,CFBDS J150411+102717,71,0.00089731272,
214,2MASSW J1506544+132106 [de],46,0.0009736797600000001,205.52599999999998
215,2MASS 1507−1627,23.9,0.0009450421200000001,205.52599999999998
216,TVLM 868-110639,53,0.0010309550400000001,
217,SDSS J151114.66+060742.9 [de],89,,206.142578
218,2MASSW J1515008+484742 [de],34,0.0009450421200000001,205.83428899999998
219,2MASSI J1526140+204341 [de],67,0.00093549624,205.52599999999998
220,DENIS-P J153941.96-052042.4 [de],51,0.000954588,205.937052
221,2MASS J15462718-3325111 [de],37,0.00089731272,205.73152599999997
222,2MASSW J1552591+294849 [de],68,0.00136506084,205.83428899999998
223,2MASSW J1555157-095605 [de],44,0.0009832256400000002,205.73152599999997
224,2MASS J16150413+1340079 [de],48,0.00089731272,206.245341
225,SDSSp J162414.37+002915.6 [de],36,0.00089731272,205.423237
226,2MASS J16262034+3925190 [de],110,0.0009832256400000002,205.937052
227,2MASSW J1632291+190441 [de],50,0.00092595036,205.423237
228,WISEPA J164715.59+563208.2,28,0.00089731272,
229,LSPM J1658+7027 [de],60,0.00099277152,205.52599999999998
230,2MASSI J1726000+153819,114,0.0013364232,
231,2MASSW J1728114+394859,79,,
232,SDSSp J175032.96+175903.9,90,0.00092595036,
233,2MASS J18283572-4849046,39,0.0009068586,
234,LSR J1835+3259,18.5,0.00102140916,205.83428899999998
235,2MASSW J1841086+311727,138,0.00096413388,
236,2MASS J18432213+4040209,46,0.00116459736,
237,2MASS J20004841-7523070,105,0.00179462544,
238,SDSS J204749.61-071818.3,65,0.00091640448,
239,2MASSI J2057540-025230,47,0.0009736797600000001,
240,2MASSW J2101154+175658,108,,
241,2MASSI J2104149-103736,62,0.0009736797600000001,
242,PSO J318.5−22,80,0.00146051964,206.861919
243,HB 2124-4228,113,0.00115505148,
244,2MASS J21392676+0220226,32.1,0.00091640448,
245,2MASS J21481628+4003593,26.3,0.0009450421200000001,
246,2MASS J14112131-2119503,,,
247,2MASSW J2206450-421721,93,0.0012696020400000002,
248,2MASSW J2208136+292121,154,0.00134596908,
249,2MASSW J2224438-015852,38,0.0009450421200000001,
250,2MASS J22282889-4310262,35,0.00089731272,206.861919
251,2MASS J22373255+3922398,64,0.00099277152,
252,2MASSW J2244316+204343,56,0.00123141852,
253,2MASS J23224684-3133231,56,0.00132687732,
254,2MASS J23225299-6151275,148,0.00151779492,
255,2MASS J23515044-2537367,67,0.0011073220799999999,
256,2MASSI J2356547-155310,74,0.0010405009200000002,
257,WISE 0005+3737,23.2,,206.55363
258,WISE 0008-1739,87.1,,206.55363
259,WISE 0015-4615,48.6,,206.55363
260,WISE 0031-3840,71.8,,206.55363
261,WISE 0032-4946,62.9,,206.55363
262,WISE 0038+2758,36.9,,206.55363
263,WISE 0038+8405,101.8,,206.55363
264,WISE 0040+0900,47.6,,206.55363
265,WISE 0049+0441,62.6,,206.55363
266,WISE 0049+2151,24.1,,206.55363
267,WISE 0106+1518,142.9,,206.55363
268,WISE 0123+4142,67.2,,206.55363
269,WISE 0135+1715,77.3,,206.55363
270,WISE 0138-0322,57.7,,206.55363
271,WISE 0146+4234,20.5,,206.55363
272,WISE 0148-7202,30,,206.55363
273,WISE 0150+3827,61.3,,206.55363
274,WISE 0206+2640,58.4,,206.55363
275,WISE 0221+3842,73.1,,206.55363
276,WISE 0223-2932,47,,206.55363
